ID,Name,Department,Team,Position,Age,College,Salary,Skills,Experience Period (Months),email,chat,timezone,topics,office_hours,To Install,Learning Modules,Documents to be signed 
96440,Kyle O'Quinn,Product & Development,SAP Industry Cloud Development,Junior SAP Industry Cloud Engineer,42,B.E. Information Systems,61245,"SAP Industry Cloud, Cloud Solutions, Java",190,kyle.oquinn@company.com,@kyleoquinn,Asia/Singapore,industry cloud; abap; btp; cloud solutions,Sep-17,"SAP Industry Cloud SDK, SAP BTP CLI, Java JDK, Eclipse (ABAP Dev Tools), Git, VS Code, Docker, Postman, Fiori Tools","SAP Industry Cloud Advanced, Cloud Solutions Deep Dive, ABAP for Industry Cloud, Industry Cloud Deployment, Agile Cloud Projects","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96441,Kristaps Porzingis,Product & Development,Integration & API Platform Team,Senior Integration & API Engineer,29,B.Tech Software Engineering,87950,"SAP CPI, APIs, REST, JSON",60,kristaps.porzingis@company.com,@kristapsporzingis,Asia/Singapore,sap cpi; rest; json; api management; integration,Sep-17,"SAP CPI, SAP API Management, Java JDK, Node.js, GitHub, VS Code, Jira, Postman, Swagger/OpenAPI tools, VPN","SAP CPI Overview, API Fundamentals, SAP API Management Basics, REST & JSON, Postman for API Testing, Swagger/OpenAPI Tools, Agile for API Teams","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96442,Kevin Seraphin,Product & Development,Integration & API Platform Team,Integration & API Engineer,37,B.Sc Computer Science,65530,"SAP CPI, Integration Tools, REST",140,kevin.seraphin@company.com,@kevinseraphin,Asia/Singapore,sap cpi; rest; json; api management; integration,Oct-18,"SAP CPI, SAP API Management, Java JDK, Node.js, GitHub, VS Code, Jira, Postman, Swagger/OpenAPI tools, VPN","SAP CPI Advanced, API Security & Governance, API Gateway, SAP Integration Suite Deep Dive, Agile Integration Practices","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96443,Lance Thomas,Product & Development,Integration & API Platform Team,Senior Integration & API Engineer,33,B.Tech Computer Science,92100,"SAP CPI, APIs, JSON",100,lance.thomas@company.com,@lancethomas,Asia/Singapore,sap cpi; rest; json; api management; integration,Sep-17,"SAP CPI, SAP API Management, Java JDK, Node.js, GitHub, VS Code, Jira, Postman, Swagger/OpenAPI tools, VPN","SAP CPI Advanced Engineering, API Development, REST & JSON Advanced, SAP Integration Suite, Agile Delivery for APIs","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Manager Responsibility Charter"
96444,Sasha Vujacic,Product & Development,Integration & API Platform Team,Integration & API Engineer,44,MBA,76780,"SAP CPI, REST, APIs, Integration",210,sasha.vujacic@company.com,@sashavujacic,Asia/Singapore,sap cpi; rest; json; api management; integration,Nov-19,"SAP CPI, SAP API Management, Java JDK, Node.js, GitHub, VS Code, Jira, Postman, Swagger/OpenAPI tools, VPN","SAP CPI Leadership, API Strategy, API Governance, SAP Integration Architecture, Project Management for APIs, Agile Leadership","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Specialist Charter"
96445,Derrick Williams,Product & Development,Integration & API Platform Team,Integration & API Engineer,26,B.E. Computer Science,84410,"SAP CPI, JSON, APIs",30,derrick.williams@company.com,@derrickwilliams,Asia/Singapore,sap cpi; rest; json; api management; integration,Aug-16,"SAP CPI, SAP API Management, Java JDK, Node.js, GitHub, VS Code, Jira, Postman, Swagger/OpenAPI tools, VPN","SAP CPI Basics, REST & JSON, API Development in SAP CPI, Postman Basics, Agile for API Delivery","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96446,Tony Wroten,Product & Development,IT support and Digital tranformation office,IT support / Technician,28,M.Tech Computer Science,99820,"OS, Hardware troubleshooting, SAP GUI / SAP client troubleshooting",50,tony.wroten@company.com,@tonywroten,Asia/Singapore,sap gui; vpn; hardware; laptop imaging; account unlock,Oct-18,"SAP GUI, SAP Client troubleshooting kits, OS monitoring tools, VPN client, Antivirus/security tools, Jira (ticketing), Confluence, MS Teams/Slack, Hardware drivers & patching tools, Agile/Project Management tools","IT Support Fundamentals, SAP GUI Troubleshooting, OS Basics, VPN Client Setup, Hardware Troubleshooting, Jira Ticketing, MS Teams Usage","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96447,Joshua Lee,Product & Development,IT support and Digital tranformation office,IT support / Technician Lead ,39,B.Tech Information Technology,62015,"OS, Hardware troubleshooting, SAP GUI / SAP client troubleshooting",160,joshua.lee@company.com,@joshualee,Asia/Singapore,sap gui; vpn; hardware; laptop imaging; account unlock,Oct-18,"SAP GUI, SAP Client troubleshooting kits, OS monitoring tools, VPN client, Antivirus/security tools, Jira (ticketing), Confluence, MS Teams/Slack, Hardware drivers & patching tools, Agile/Project Management tools","IT Support Leadership, SAP Client Troubleshooting, OS Monitoring, VPN & Security, Hardware Management, Jira Advanced, Agile IT Leadership","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96448,Isaiah Canaan,Product & Development,IT support and Digital tranformation office,Digital Transformation Specialist,35,B.E. Software Engineering,85740,"SAP Strategy, Agile, Project Management",120,isaiah.canaan@company.com,@isaiahcanaan,Asia/Singapore,sap gui; vpn; hardware; laptop imaging; account unlock,Nov-19,"SAP GUI, SAP Client troubleshooting kits, OS monitoring tools, VPN client, Antivirus/security tools, Jira (ticketing), Confluence, MS Teams/Slack, Hardware drivers & patching tools, Agile/Project Management tools","Digital Transformation Overview, SAP Strategy Basics, Agile Project Management, Business Analysis Basics, Jira & Confluence, MS Teams for Collaboration","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96449,Robert Covington,Product & Development,IT support and Digital tranformation office,Senior Digital Transformation Specialist,46,B.Sc Computer Science,94820,"Project Management, SAP Strategy, Business Analysis",230,robert.covington@company.com,@robertcovington,Asia/Singapore,sap gui; vpn; hardware; laptop imaging; account unlock,Nov-19,"SAP GUI, SAP Client troubleshooting kits, OS monitoring tools, VPN client, Antivirus/security tools, Jira (ticketing), Confluence, MS Teams/Slack, Hardware drivers & patching tools, Agile/Project Management tools","SAP Strategy Leadership, Business Analysis Advanced, Project Management Advanced, Agile Transformation Practices, Jira & Confluence Advanced","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96450,Joel Embiid,Product & Development,IT support and Digital tranformation office,Digital Transformation Analyst,29,B.Sc Computer Science,73410,"SAP Strategy, Business Analysis, Agile",60,joel.embiid@company.com,@joelembiid,Asia/Singapore,sap gui; vpn; hardware; laptop imaging; account unlock,Nov-19,"SAP GUI, SAP Client troubleshooting kits, OS monitoring tools, VPN client, Antivirus/security tools, Jira (ticketing), Confluence, MS Teams/Slack, Hardware drivers & patching tools, Agile/Project Management tools","Digital Transformation Basics, SAP Strategy, Business Analysis, Agile Fundamentals, Jira & Confluence, MS Teams","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
